字段1,字段1_link,字段2,字段3,字段4,字段5,字段6
Cabinet Maker - Kitchens,https://www.seek.co.nz/job/50581799?type=promoted#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Kitchen Link (2015) Ltd,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
Retaining Wall Skilled Operator/Builder,https://www.seek.co.nz/job/50610755?type=promoted#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Hamilton Fencing Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,$27.50 - $40.00 per hourPlus Time and a half",classification: Trades & ServicesTrades & ServicessubClassification: Building TradesBuilding Trades,"Featured,at",$27.50 - $40.00 per hourPlus Time and a half
Trainee Locksmith,https://www.seek.co.nz/job/50590717?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,EQUIP Recruitment Ltd,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,classification: Trades & ServicesTrades & ServicessubClassification: LocksmithsLocksmiths,"5d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LocksmithsLocksmiths
Labourer,https://www.seek.co.nz/job/50606442?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,AB Contracting Ltd,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Sawmill Labourers,https://www.seek.co.nz/job/50608729?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Superior Personnel Ltd,location: CanterburyCanterburyarea: North CanterburyNorth Canterbury,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"23h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Labourer,https://www.seek.co.nz/job/50614907?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Big Mals Ltd,"location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,$20 - $24.99 per hour dependent on the applicant",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"1h ago,at",$20 - $24.99 per hour dependent on the applicant
Meter Reader,https://www.seek.co.nz/job/50607691?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,NetYourJob,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: LabourersLabourers
Driver/General Hand,https://www.seek.co.nz/job/50598726?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,"maui, Britz, mighty",location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"2d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services
Handyman/Property Maintenance Extraordinaire Wanted,https://www.seek.co.nz/job/50597348?type=standard#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,MYGuy Ltd,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$30 - $39.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Maintenance & Handyperson ServicesMaintenance & Handyperson Services,"2d ago,at",$30 - $39.99 per hour
Apprentice Technician - Auckland City Toyota,https://www.seek.co.nz/job/50609650?type=standout#searchRequestToken=5b7668f5-1012-4ce2-b995-4de9bd5095ca,Armstrong's,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"21h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
